source_id,phot_variable_flag,pf,epoch_g
4318034362777412992,VARIABLE,0.4676940410773997,1759.6343902300234
4318075942388538880,VARIABLE,0.45080358358201644,1759.2901780503882
4318106453828014336,VARIABLE,0.4216312889270276,1759.506552626839
4318136999631822464,VARIABLE,0.5222468999157918,1724.6593441096697
4318147616785485824,VARIABLE,0.6108295373454662,1724.4553534756144
2195316153319624192,VARIABLE,0.548481715332566,1679.3610143956548
2195648132814029312,VARIABLE,0.5014868734816325,1685.2547963492668
2195750146876812032,VARIABLE,0.6206472688259573,1686.3829644346258
2195878209919982464,VARIABLE,0.5666440156365732,1683.7072072373944
2195880752540525952,VARIABLE,0.7490394860439972,1683.2830931527715
2195937888486787840,VARIABLE,0.4862684163875203,1686.9090894858539
2195958504330260224,VARIABLE,0.4954183688956163,1687.147980804035
2195979635570512640,VARIABLE,0.5278834017524597,1688.6506726867512
2196012968813801984,VARIABLE,0.6058409525264999,1687.2377098209345
2196067703877567232,VARIABLE,0.5756898931290219,1689.2192733653883
2196103884681824384,VARIABLE,0.5289135029029828,1688.8209482102427
