source_id,ra,dec,parallax,parallax_error,b,ruwe,bp_rp,phot_bp_rp_excess_factor,pf,epoch_g,int_average_g,int_average_g_error
6586473296359299968,326.02337140892917,-36.261818513587286,0.25107920913590837,0.020556653,-49.51859283729456,1.0966828,0.5951195,1.1772523,0.5430386265928068,1721.5208872704718,13.781191,0.0024988456
6458861949615378688,325.2374197971632,-57.57875006078701,0.42251363334085473,0.018534603,-44.952665320444126,1.5693688,0.5872688,1.1792165,0.4807489965799156,1709.8608739629717,12.596137,0.004912602
6459713658809674880,321.1385484351955,-57.20120296973572,0.2794380739819525,0.016730385,-42.99589863451356,1.3022145,0.61558247,1.189587,0.6051525046235642,1709.5126638512816,13.289133,0.018727709
6463159287733222016,318.35301590256705,-55.40189005915251,0.2502857266839703,0.0149326995,-41.97121671131691,1.0223418,0.68952084,1.1944704,0.6464373888417093,1710.147524838525,13.674155,0.0011412316
6774717933372604544,314.72826310528984,-38.94154731195036,0.4987376354157383,0.03491712,-40.698189688717704,2.0132413,0.58039665,1.186065,0.44915931912852625,1717.7698727833742,12.906251,0.024000995
6775336855339787008,315.1340959996912,-37.138604796672084,0.33640833418421445,0.01920859,-40.85475414878805,1.5147058,0.686265,1.1728219,0.5974076251980647,1718.0409654799123,13.127146,0.0065846867
6777158196350988416,315.4024177632289,-35.65185328325018,0.2988694056807617,0.018299345,-40.90416894552786,1.1553717,0.72558117,1.2210506,0.6068442238745227,1718.3016726642795,13.209514,0.0015223501
6778621508888695296,314.2710358036758,-36.36336675405988,0.4919900183962011,0.01552309,-40.08152910385263,0.99561507,0.7124672,1.2099031,0.4834944893660801,1718.3038679918322,12.388685,0.035444956
6779964729843530752,311.1338234954015,-34.40148986534283,0.3752092980238991,0.019090932,-37.26283668967399,1.2171026,0.6656561,1.1846678,0.5679326961738707,1718.1662087422758,13.187745,0.021683658
6780267993191790464,314.6093276007821,-34.82024948243473,0.34629787227473763,0.02627673,-40.153402025004226,1.2586108,0.759778,1.1926906,0.8326466348462688,1718.3690017736997,12.959678,0.0017917922
6472840590694980480,302.05590827921446,-55.2339442752916,0.49351080238757095,0.019382654,-32.78261946458957,1.5254498,0.58524513,1.1694219,0.40272471786651154,1710.4511239459775,12.525346,0.015787816
6473684637667905280,303.60488645010344,-52.928030930247466,0.28070076066002303,0.017954728,-33.632022301508876,1.1714253,0.67925453,1.1966722,0.5754177421513106,1710.583621782854,13.144389,0.0033461582
